Symbol,Full Name,GICS Sector,GICS Sub-Industry,environmentScore,socialScore,governanceScore,totalEsg,highestControversy,percentile,ratingYear,ratingMonth,marketCap,beta,overallRisk
IQV,IQVIA,Health Care,Life Sciences Tools & Services,1.3,10.62,7.22,19.14,2,24.78,2023,9,43748352000,1.498,8
IRM,Iron Mountain,Real Estate,Other Specialized REITs,5,3.74,5.76,14.5,2,10.01,2023,9,34669355008,1.026,5
ISRG,Intuitive Surgical,Health Care,Health Care Equipment,3.65,9.58,7.84,21.07,1,32.14,2023,9,1.74618E+11,1.395,3
IT,Gartner,Information Technology,IT Consulting & Other Services,0.11,13.17,5.64,18.93,1,23.89,2023,9,39306534912,1.323,1
ITW,Illinois Tool Works,Industrials,Industrial Machinery & Supplies & Components,7,11.78,6.52,25.29,2,50.21,2023,9,75748122624,1.112,3
IVZ,Invesco,Financials,Asset Management & Custody Banks,0.73,11.02,11.04,22.79,2,39.19,2023,9,7470531584,1.423,3
J,Jacobs Solutions,Industrials,Construction & Engineering,5.29,11.46,5.62,22.37,3,33.64,2022,8,18008506368,0.721,7
JBHT,J.B. Hunt,Industrials,Cargo Ground Transportation,3.28,6.55,5,14.82,1,10.74,2023,9,17132796928,1.153,8
JCI,Johnson Controls,Industrials,Building Products,4.49,4.55,5.39,14.43,3,9.85,2023,9,48678182912,1.3,6
JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services,4.32,8.66,5.68,18.66,0,22.88,2023,9,12909138944,0.638,7
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,0.92,15.02,8.03,23.98,4,44.52,2023,9,4.02178E+11,0.519,4
JNPR,Juniper Networks,Information Technology,Communications Equipment,1.82,7.2,5.8,14.82,1,10.73,2023,9,12847232000,0.921,5
JPM,JPMorgan Chase,Financials,Diversified Banks,1.11,16.45,11.7,29.26,3,66.02,2023,9,5.9535E+11,1.105,5
K,Kellanova,Consumer Staples,Packaged Foods & Meats,10.64,13.35,4.38,28.37,2,62.52,2023,9,27749677056,0.394,8
KEY,KeyCorp,Financials,Regional Banks,1.59,9.16,10.66,21.42,1,33.6,2023,9,15378881536,1.238,4
KEYS,Keysight,Information Technology,Electronic Equipment & Instruments,1.2,1.75,4.65,7.6,1,1.47,2023,9,26116489216,0.974,4
KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,13.49,14.05,6.17,33.7,3,80.3,2023,9,42366164992,0.478,4
KIM,Kimco Realty,Real Estate,Retail REITs,2.35,2.58,5.97,10.9,0,3.52,2023,9,16219149312,1.492,5
KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,7.41,5.13,4.64,17.19,0,17.74,2023,9,99420717056,1.276,4
